species,datafile,partner,Tk_K,upper_id,upper_group,upper_label,upper_qn_json,E_u_K,g_u,A_tot_s-1,gamma_tot_cm3_s-1,ncrit_cm-3,n_rad_branches,n_coll_branches,data_mode,is_hfs_resolved,is_collision_hfs_resolved,is_collision_approximate,warnings
CN,cn-hfs.dat,p-H2,5.0,3,N=1,"N=1,J=0.5,F=0.5","{""F"": 0.5, ""J"": 0.5, ""N"": 1}",5.430087811485699,2.0,1.1789999999999999e-05,3.7249746009436834e-11,316512.22526492196,2,70,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,4,N=1,"N=1,J=0.5,F=1.5","{""F"": 1.5, ""J"": 0.5, ""N"": 1}",5.4323898544889,4.0,1.182e-05,3.147552184400555e-11,375529.9136446596,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,5,N=1,"N=1,J=1.5,F=2.5","{""F"": 2.5, ""J"": 1.5, ""N"": 1}",5.4467776232589,6.0,1.19e-05,2.136270841177781e-11,557045.4724476427,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,6,N=1,"N=1,J=1.5,F=1.5","{""F"": 1.5, ""J"": 1.5, ""N"": 1}",5.4474970116974,4.0,1.193e-05,2.97671383926053e-11,400777.5232759232,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,7,N=1,"N=1,J=1.5,F=0.5","{""F"": 0.5, ""J"": 1.5, ""N"": 1}",5.4480725224482,2.0,1.19e-05,2.975987702048793e-11,399867.24379968195,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,8,N=2,"N=2,J=1.5,F=0.5","{""F"": 0.5, ""J"": 1.5, ""N"": 2}",16.3082481454196,2.0,0.00011383,4.996650863913591e-11,2278125.9507662193,4,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,9,N=2,"N=2,J=1.5,F=1.5","{""F"": 1.5, ""J"": 1.5, ""N"": 2}",16.3089675338581,4.0,0.00011392,4.936304241716774e-11,2307799.4066342292,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,10,N=2,"N=2,J=1.5,F=2.5","{""F"": 2.5, ""J"": 1.5, ""N"": 2}",16.3102624330474,6.0,0.00011396,3.65769045331057e-11,3115627.2367678075,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,11,N=2,"N=2,J=2.5,F=3.5","{""F"": 3.5, ""J"": 2.5, ""N"": 2}",16.335009395331802,8.0,0.000114,2.9514231971175473e-11,3862543.3354097097,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,12,N=2,"N=2,J=2.5,F=2.5","{""F"": 2.5, ""J"": 2.5, ""N"": 2}",16.335872661457998,6.0,0.00011430144999999999,3.809548454291318e-11,3000393.652198952,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,13,N=2,"N=2,J=2.5,F=1.5","{""F"": 1.5, ""J"": 2.5, ""N"": 2}",16.3364481722088,4.0,0.00011433,3.4929817630373795e-11,3273134.752944787,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,14,N=3,"N=3,J=2.5,F=1.5","{""F"": 1.5, ""J"": 2.5, ""N"": 3}",32.6272871174167,4.0,0.00041252,3.435650092339971e-11,12007043.468126833,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,15,N=3,"N=3,J=2.5,F=2.5","{""F"": 2.5, ""J"": 2.5, ""N"": 3}",32.6281503835429,6.0,0.00041213999999999997,3.6061796945153214e-11,11428715.009039296,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,16,N=3,"N=3,J=2.5,F=3.5","{""F"": 3.5, ""J"": 2.5, ""N"": 3}",32.6291575273568,8.0,0.00041173,3.149732644600247e-11,13071903.125043025,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,17,N=3,"N=3,J=3.5,F=4.5","{""F"": 4.5, ""J"": 3.5, ""N"": 3}",32.6642636831556,10.0,0.000413,2.963584805937228e-11,13935825.260427786,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,18,N=3,"N=3,J=3.5,F=3.5","{""F"": 3.5, ""J"": 3.5, ""N"": 3}",32.6651269492818,8.0,0.0004135,3.2614775589173274e-11,12678302.779347178,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,19,N=3,"N=3,J=3.5,F=2.5","{""F"": 2.5, ""J"": 3.5, ""N"": 3}",32.6658463377203,6.0,0.000412727,3.099303192082179e-11,13316767.493235184,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,20,N=4,"N=4,J=3.5,F=2.5","{""F"": 2.5, ""J"": 3.5, ""N"": 4}",54.386629216726206,6.0,0.0010138599999999999,4.268016516950416e-11,23754828.407375127,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,21,N=4,"N=4,J=3.5,F=3.5","{""F"": 3.5, ""J"": 3.5, ""N"": 4}",54.3874924828524,8.0,0.00101308,4.3522992327498496e-11,23276892.18555684,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,22,N=4,"N=4,J=3.5,F=4.5","{""F"": 4.5, ""J"": 3.5, ""N"": 4}",54.3884996266663,10.0,0.00101336,4.1937370415766244e-11,24163651.41527877,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,23,N=4,"N=4,J=4.5,F=5.5","{""F"": 5.5, ""J"": 4.5, ""N"": 4}",54.4339649759795,12.0,0.00102,4.138443118988844e-11,24646949.84739138,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,24,N=4,"N=4,J=4.5,F=4.5","{""F"": 4.5, ""J"": 4.5, ""N"": 4}",54.4348282421057,10.0,0.0010149,4.254790098948852e-11,23853115.580266383,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,25,N=4,"N=4,J=4.5,F=3.5","{""F"": 3.5, ""J"": 4.5, ""N"": 4}",54.4355476305442,8.0,0.0010151770000000001,4.184890702446284e-11,24258148.472230755,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,26,N=5,"N=5,J=4.5,F=3.5","{""F"": 3.5, ""J"": 4.5, ""N"": 5}",81.5854111772219,8.0,0.00202894,5.380687084313119e-11,37707823.707406834,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,27,N=5,"N=5,J=4.5,F=4.5","{""F"": 4.5, ""J"": 4.5, ""N"": 5}",81.5862744433481,10.0,0.00202279,5.4392334932104966e-11,37188879.69279017,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,28,N=5,"N=5,J=4.5,F=5.5","{""F"": 5.5, ""J"": 4.5, ""N"": 5}",81.58728158716201,12.0,0.00202504,5.347295481368203e-11,37870359.08256666,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,29,N=5,"N=5,J=5.5,F=6.5","{""F"": 6.5, ""J"": 5.5, ""N"": 5}",81.6431061299896,14.0,0.00203,5.32151793116874e-11,38147010.42554151,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,30,N=5,"N=5,J=5.5,F=5.5","{""F"": 5.5, ""J"": 5.5, ""N"": 5}",81.64396939611579,12.0,0.0020268,5.3856635714793617e-11,37633245.61774044,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,31,N=5,"N=5,J=5.5,F=4.5","{""F"": 4.5, ""J"": 5.5, ""N"": 5}",81.6446887845543,10.0,0.002030866,5.33954792804777e-11,38034418.40707514,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,32,N=6,"N=6,J=5.5,F=4.5","{""F"": 4.5, ""J"": 5.5, ""N"": 6}",114.2226258550899,10.0,0.00355332,6.243568110151654e-11,56911687.95327983,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,33,N=6,"N=6,J=5.5,F=5.5","{""F"": 5.5, ""J"": 5.5, ""N"": 6}",114.2233452435284,12.0,0.00354949,6.291733437977524e-11,56415136.384750955,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,34,N=6,"N=6,J=5.5,F=6.5","{""F"": 6.5, ""J"": 5.5, ""N"": 6}",114.2243523873423,14.0,0.00355382,6.214266239275491e-11,57188087.26827792,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,35,N=6,"N=6,J=6.5,F=7.5","{""F"": 7.5, ""J"": 6.5, ""N"": 6}",114.29068000137201,16.0,0.00356,6.192420106728825e-11,57489639.56969945,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,36,N=6,"N=6,J=6.5,F=6.5","{""F"": 6.5, ""J"": 6.5, ""N"": 6}",114.2915432674982,14.0,0.0035539,6.257308444432236e-11,56795985.55129988,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,37,N=6,"N=6,J=6.5,F=5.5","{""F"": 5.5, ""J"": 6.5, ""N"": 6}",114.2922626559367,12.0,0.003558481,6.213228357971278e-11,57272657.54580929,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,38,N=7,"N=7,J=6.5,F=5.5","{""F"": 5.5, ""J"": 6.5, ""N"": 7}",152.2966905957655,12.0,0.005698902,8.243938782459455e-11,69128388.14530617,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,39,N=7,"N=7,J=6.5,F=6.5","{""F"": 6.5, ""J"": 6.5, ""N"": 7}",152.29755386189169,14.0,0.00570627,8.282077348448058e-11,68899018.445768,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,40,N=7,"N=7,J=6.5,F=7.5","{""F"": 7.5, ""J"": 6.5, ""N"": 7}",152.2984171280179,16.0,0.00570265,8.222261598703892e-11,69356221.90491885,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,41,N=7,"N=7,J=7.5,F=8.5","{""F"": 8.5, ""J"": 7.5, ""N"": 7}",152.3752478132497,18.0,0.00571,8.207450349896181e-11,69570935.63255277,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,42,N=7,"N=7,J=7.5,F=7.5","{""F"": 7.5, ""J"": 7.5, ""N"": 7}",152.37596720168818,16.0,0.005711000000000001,8.26510635165818e-11,69097719.46073309,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,43,N=7,"N=7,J=7.5,F=6.5","{""F"": 6.5, ""J"": 7.5, ""N"": 7}",152.37683046781441,14.0,0.0057065150000000005,8.219520382698527e-11,69426374.46354882,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,44,N=8,"N=8,J=7.5,F=6.5","{""F"": 6.5, ""J"": 7.5, ""N"": 8}",195.8063105000594,14.0,0.008584535,8.490770080697524e-11,101104315.8442794,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,45,N=8,"N=8,J=7.5,F=7.5","{""F"": 7.5, ""J"": 7.5, ""N"": 8}",195.80717376618563,16.0,0.00858305,8.536235072835051e-11,100548425.93679184,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,46,N=8,"N=8,J=7.5,F=8.5","{""F"": 8.5, ""J"": 7.5, ""N"": 8}",195.8080370323118,18.0,0.008581420000000001,8.485498993607036e-11,101130410.91001521,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,47,N=8,"N=8,J=8.5,F=9.5","{""F"": 9.5, ""J"": 8.5, ""N"": 8}",195.895226911058,20.0,0.00859,8.476204725544774e-11,101342526.26192807,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,48,N=8,"N=8,J=8.5,F=8.5","{""F"": 8.5, ""J"": 8.5, ""N"": 8}",195.8960901771842,18.0,0.008589,8.512165876800375e-11,100902638.93246058,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,49,N=8,"N=8,J=8.5,F=7.5","{""F"": 7.5, ""J"": 8.5, ""N"": 8}",195.8968095656227,16.0,0.008583462,8.47905232524148e-11,101231383.77678955,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,50,N=9,"N=9,J=8.5,F=7.5","{""F"": 7.5, ""J"": 8.5, ""N"": 9}",244.7497590357192,16.0,0.012271263000000001,9.274413304175359e-11,132313091.91790551,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,51,N=9,"N=9,J=8.5,F=8.5","{""F"": 8.5, ""J"": 8.5, ""N"": 9}",244.75047842415768,18.0,0.012248895000000001,9.305296627639547e-11,131633579.13402863,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
