species,upper_id,lower_id,upper_group,lower_group,upper_label,lower_label,frequency_GHz,A_ul_s-1,A_tot_upper_s-1,branching_ratio,upper_ncrit_cm-3,Tk_K,partner,data_mode
CN,3,1,N=1,N=0,"N=1,J=0.5,F=0.5","N=0,J=0.5,F=1.5",113.14416,1.05e-05,1.1789999999999999e-05,0.89058524173028,316512.22526492196,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,3,2,N=1,N=0,"N=1,J=0.5,F=0.5","N=0,J=0.5,F=0.5",113.12337,1.29e-06,1.1789999999999999e-05,0.10941475826972011,316512.22526492196,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,4,1,N=1,N=0,"N=1,J=0.5,F=1.5","N=0,J=0.5,F=1.5",113.19128,6.68e-06,1.182e-05,0.5651438240270727,375529.9136446596,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,4,2,N=1,N=0,"N=1,J=0.5,F=1.5","N=0,J=0.5,F=0.5",113.17049,5.14e-06,1.182e-05,0.43485617597292725,375529.9136446596,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,5,1,N=1,N=0,"N=1,J=1.5,F=2.5","N=0,J=0.5,F=1.5",113.49097,1.19e-05,1.19e-05,1.0,557045.4724476427,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,6,1,N=1,N=0,"N=1,J=1.5,F=1.5","N=0,J=0.5,F=1.5",113.50891,5.19e-06,1.193e-05,0.435037720033529,400777.5232759232,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,6,2,N=1,N=0,"N=1,J=1.5,F=1.5","N=0,J=0.5,F=0.5",113.48812,6.74e-06,1.193e-05,0.5649622799664711,400777.5232759232,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,7,1,N=1,N=0,"N=1,J=1.5,F=0.5","N=0,J=0.5,F=1.5",113.52043,1.3e-06,1.19e-05,0.10924369747899161,399867.24379968195,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,7,2,N=1,N=0,"N=1,J=1.5,F=0.5","N=0,J=0.5,F=0.5",113.49964,1.06e-05,1.19e-05,0.8907563025210085,399867.24379968195,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,8,3,N=2,N=1,"N=2,J=1.5,F=0.5","N=1,J=0.5,F=0.5",226.66369,8.46e-05,0.00011383,0.7432135640867961,2278125.9507662193,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
CN,8,4,N=2,N=1,"N=2,J=1.5,F=0.5","N=1,J=0.5,F=1.5",226.61657,1.07e-05,0.00011383,0.09399982429939382,2278125.9507662193,5.0,p-H2,HFS-resolved spectroscopy + HFS-resolved collisions
